db,model,auc
cleveland-0_vs_4,cosineBRM,0.11458333333333333
cleveland-0_vs_4,chebyshevBRM,0.09375
car-vgood,BRM,0.503003003003003
car-vgood,GMM,0.3483483483483484
car-vgood,ISOF,0.5
car-vgood,OCSVM,0.5174405174405174
car-vgood,manhattanBRM,0.5015015015015015
car-vgood,cosineBRM,0.5
car-vgood,chebyshevBRM,0.5
car-good,BRM,0.5
car-good,GMM,0.5331325301204819
car-good,ISOF,0.5
car-good,OCSVM,0.5413080895008605
car-good,manhattanBRM,0.5015060240963856
car-good,cosineBRM,0.5015060240963856
car-good,chebyshevBRM,0.5
abalone9-18,BRM,0.12801932367149754
abalone9-18,GMM,0.4842995169082126
abalone9-18,ISOF,0.21256038647342995
abalone9-18,OCSVM,0.3683574879227054
abalone9-18,manhattanBRM,0.15297906602254427
abalone9-18,cosineBRM,0.11513687600644122
abalone9-18,chebyshevBRM,0.10950080515297907
abalone19,BRM,0.35544833132287895
abalone19,GMM,0.6562123039806996
abalone19,ISOF,0.6103739445114595
abalone19,OCSVM,0.7503015681544029
abalone19,manhattanBRM,0.3665058303176518
abalone19,cosineBRM,0.35524728588661036
abalone19,chebyshevBRM,0.376357056694813
abalone-3_vs_11,BRM,0.6768707482993197
abalone-3_vs_11,GMM,0.5578231292517006
abalone-3_vs_11,ISOF,0.10204081632653061
abalone-3_vs_11,OCSVM,0.27040816326530615
abalone-3_vs_11,manhattanBRM,0.7074829931972789
abalone-3_vs_11,cosineBRM,0.05782312925170067
abalone-3_vs_11,chebyshevBRM,0.6224489795918368
abalone-21_vs_8,BRM,0.005847953216374287
abalone-21_vs_8,GMM,0.3026315789473684
abalone-21_vs_8,ISOF,0.08771929824561403
abalone-21_vs_8,OCSVM,0.2368421052631579
abalone-21_vs_8,manhattanBRM,0.005847953216374287
abalone-21_vs_8,cosineBRM,0.017543859649122823
abalone-21_vs_8,chebyshevBRM,0.017543859649122785
abalone-20_vs_8-9-10,BRM,0.1507936507936508
abalone-20_vs_8-9-10,GMM,0.5727513227513228
abalone-20_vs_8-9-10,ISOF,0.5304232804232805
abalone-20_vs_8-9-10,OCSVM,0.492063492063492
abalone-20_vs_8-9-10,manhattanBRM,0.15123456790123457
abalone-20_vs_8-9-10,cosineBRM,0.1917989417989418
abalone-20_vs_8-9-10,chebyshevBRM,0.18694885361552033
abalone-19_vs_10-11-12-13,BRM,0.41464510332434856
abalone-19_vs_10-11-12-13,GMM,0.33715184186882297
abalone-19_vs_10-11-12-13,ISOF,0.47978436657681944
abalone-19_vs_10-11-12-13,OCSVM,0.394429469901168
